rank,stop_id,stop_name,tract_geoid,households,pct_no_vehicle_est,moe_pts,pct_draws_in_top20,median_rank_simulated
196.0,1018,CVS @ Millhopper,12001001701,3402,17.3,5.7,0.0,194.0
197.0,100,GTEC,12001000700,2512,12.6,7.5,0.0,194.0
198.0,1489,Village Point 4,12001001522,4386,15.6,7.6,0.0,200.0
199.0,664,UF Health Shands North Tower,12001000902,164,30.5,16.9,0.0,197.0
200.0,753,Smokey Bear Park,12001000400,2341,18.2,8.7,0.0,200.0
201.0,704,Kangaroo @ N Main St,12001000301,1952,14.1,7.2,0.0,199.0
202.0,1187,Microbiology/Cell Science Building,12001000901,237,49.8,28.7,0.0,206.0
203.0,18,Shands Hospital @ Davis Cancer Pavilion,12001000902,164,30.5,16.9,0.0,201.5
204.0,673,Stayable Select Hotel,12001000809,791,3.0,3.1,0.0,196.0
205.0,623,Westbound NE 13th Street @ NE 8th Avenue,12001000500,2796,10.7,4.8,0.0,204.0
206.0,208,Bo Diddley Community Plaza,12001000500,2796,10.7,4.8,0.0,206.0
207.0,1325,Division of Blind Services,12001001701,3402,17.3,5.7,0.0,208.0
208.0,709,McCoy Court Apartments,12001000400,2341,18.2,8.7,0.0,210.0
209.0,995,Summer Creek Neighborhood,12001001811,3147,12.6,7.9,0.0,212.0
210.0,740,Stephen Foster Elementary School @ 39th Ave,12001000302,1363,11.6,6.7,0.0,204.0
211.0,847,Corry Village,12001000901,237,49.8,28.7,0.0,215.0
212.0,449,Hideaway Apartments,12001001516,1562,8.5,5.4,0.0,206.0
213.0,109,Phase III Supply,12001000600,1734,20.2,11.8,0.0,213.0
214.0,688,Tanglewood Apartments,12001000808,1699,7.2,6.0,0.0,202.0
215.0,1447,Gardenia Gardens,12001000600,1734,20.2,11.8,0.0,215.5
216.0,1290,Alachua County Courthouse,12001000500,2796,10.7,4.8,0.0,212.0
217.0,1497,Alachua School Bus Parking Lot,12001000600,1734,20.2,11.8,0.0,217.0
218.0,1013,Pine Woods Apartments,12001001701,3402,17.3,5.7,0.0,213.0
219.0,1008,Greystone Community,12001001701,3402,17.3,5.7,0.0,216.0
220.0,39,The Bartram Apartments,12001001514,1080,8.3,6.3,0.0,214.5
221.0,989,Pinewood Apartments,12001001811,3147,12.6,7.9,0.0,221.0
222.0,248,Gainesville High School,12001001100,2940,7.3,3.5,0.0,217.0
223.0,562,Sunny Food Mart,12001000500,2796,10.7,4.8,0.0,220.0
224.0,1491,Lowe's @ Butler Plaza Eastbound,12001001522,4386,15.6,7.6,0.0,224.0
225.0,845,Lakeside,12001000901,237,49.8,28.7,0.0,227.0
226.0,1185,Microbiology/Cell Science Building,12001000901,237,49.8,28.7,0.0,228.5
227.0,139,City Hall,12001000500,2796,10.7,4.8,0.0,224.0
228.0,969,UF Health Professional Park,12001001517,2597,11.4,6.8,0.0,219.0
229.0,1492,Butler Plaza,12001001522,4386,15.6,7.6,0.0,228.5
230.0,24,Take 5 Car Wash,12001001514,1080,8.3,6.3,0.0,226.5
231.0,370,Gainesville High School,12001000301,1952,14.1,7.2,0.0,226.5
232.0,3,Westbound SW 2nd Avenue @ SW 2nd Street,12001000500,2796,10.7,4.8,0.0,230.0
233.0,108,SE 24th Street at Hawthorne Road,12001000600,1734,20.2,11.8,0.0,234.0
234.0,643,Ridgemar Apartments,12001001517,2597,11.4,6.8,0.0,228.0
235.0,750,Southbound NE 15th Street @ NE 31 Avenue,12001000400,2341,18.2,8.7,0.0,233.0
236.0,732,Oak Gate Condominiums,12001000302,1363,11.6,6.7,0.0,227.0
237.0,300,Fast Eddie's Restaurant,12001000700,2512,12.6,7.5,0.0,231.0
238.0,36,Capstone Quarters Apartments,12001001515,2932,9.4,7.0,0.0,229.0
239.0,101,SE 24th Street - Dollar General Store,12001000600,1734,20.2,11.8,0.0,239.0
240.0,147,Target Copy @ W University Avenue,12001001000,3509,6.5,4.1,0.0,225.0
241.0,955,Gainesville Place Apartments,12001001515,2932,9.4,7.0,0.0,232.5
242.0,223,NW 6th St NW 21st Ln,12001000301,1952,14.1,7.2,0.0,235.0
243.0,1141,Wilmot Gardens,12001000902,164,30.5,16.9,0.0,236.0
244.0,1087,Pine Meadow Apartments,12001002217,2967,15.9,6.6,0.0,238.0
245.0,721,NE 39th Ave WB Farside NE 15th St,12001001902,1361,16.8,9.7,0.0,245.0
246.0,1261,Gardenia Garden Apartments,12001000600,1734,20.2,11.8,0.0,244.0
247.0,1372,Newberry Rd @ NW 75th,12001002204,5356,5.5,3.9,0.0,238.0
248.0,150,University Lutheran Church,12001001000,3509,6.5,4.1,0.0,240.0
249.0,203,University of Florida Human Resources,12001000201,2308,21.1,10.6,0.0,244.0
250.0,373,Furniture Kingdom,12001001203,1619,5.6,3.9,0.0,243.0
251.0,722,Eden Park at Ironwood,12001001902,1361,16.8,9.7,0.0,255.0
252.0,25,Westbound Archer Road @ SW 34th Street,12001001514,1080,8.3,6.3,0.0,251.0
253.0,480,Mt Vernon Apartments,12001001514,1080,8.3,6.3,0.0,254.0
254.0,1091,Home Depot @ NW 4th Boulevard,12001002217,2967,15.9,6.6,0.0,256.0
255.0,1270,Gainesville Place Apartments,12001001515,2932,9.4,7.0,0.0,252.5
256.0,507,Capital City Bank @ NW 16th Boulevard,12001001100,2940,7.3,3.5,0.0,254.0
257.0,1504,PPG Paints Store,12001000201,2308,21.1,10.6,0.0,254.0
258.0,16,Shands Hospital @ Center Drive,12001000902,164,30.5,16.9,0.0,256.0
259.0,564,MLK Center,12001000600,1734,20.2,11.8,0.0,266.0
260.0,436,Applebee's @ NW 13th Street,12001001000,3509,6.5,4.1,0.0,255.0
261.0,278,NW 6th Street & NW 16th Avenue,12001000301,1952,14.1,7.2,0.0,261.0
262.0,679,Meridian Behavioral Healthcare,12001110800,898,12.0,8.9,0.0,259.0
263.0,1300,Gainesville Jrs. Volleyball Club,12001001519,882,12.8,5.3,0.0,259.0
264.0,637,Aspen Ridge Apartments,12001001517,2597,11.4,6.8,0.0,260.0
265.0,636,Greenwich Green Apartments,12001001519,882,12.8,5.3,0.0,262.0
266.0,220,Medical Marijuana Treatment Center,12001000301,1952,14.1,7.2,0.0,264.0
267.0,1548,Sam's Club,12001001522,4386,15.6,7.6,0.0,270.0
268.0,1482,Lake Alice Conservation Area,12001000901,237,49.8,28.7,0.0,271.0
269.0,1223,Forest Meadows Funeral Home,12001000301,1952,14.1,7.2,0.0,268.0
270.0,89,Lincoln Estate Neighborhood,12001000700,2512,12.6,7.5,0.0,264.0
271.0,1096,Oaks Square Complex,12001001605,4022,6.0,5.3,0.0,266.0
272.0,1177,Fifield Hall,12001000901,237,49.8,28.7,0.0,276.0
273.0,1098,North Florida Regional Medical Center,12001001702,2361,5.5,4.0,0.0,266.0
274.0,46,Beaty Towers,12001000902,164,30.5,16.9,0.0,269.0
275.0,52,Eastbound SW 2nd Avenue @ SW 10th Street,12001000201,2308,21.1,10.6,0.0,270.0
276.0,1159,Phi Kappa Tau,12001000201,2308,21.1,10.6,0.0,272.5
277.0,1352,Colonial Oaks,12001001522,4386,15.6,7.6,0.0,280.0
278.0,250,Gainesville High School Tennis Courts,12001001100,2940,7.3,3.5,0.0,277.0
279.0,1186,Lakeside Residential Building,12001000901,237,49.8,28.7,0.0,284.0
280.0,22,Country Village,12001001514,1080,8.3,6.3,0.0,279.0
281.0,743,Pine Forest Homes,12001000302,1363,11.6,6.7,0.0,274.0
282.0,434,Direct Auto Insurance,12001001000,3509,6.5,4.1,0.0,272.0
283.0,23,UF Surge Area Drive,12001001514,1080,8.3,6.3,0.0,283.0
284.0,1364,Southbound SE 19th TER @ SE 12th AVE,12001000700,2512,12.6,7.5,0.0,279.0
285.0,869,Fair View Apartments,12001000500,2796,10.7,4.8,0.0,281.0
286.0,1005,Springhill Professional Center,12001001701,3402,17.3,5.7,0.0,284.0
287.0,762,Brakes 4 Less,12001000301,1952,14.1,7.2,0.0,285.0
288.0,1053,Galen College of Nursing,12001002219,2774,16.5,9.1,0.0,286.0
289.0,1301,Stoneridge Apartments,12001001519,882,12.8,5.3,0.0,285.0
290.0,748,Fearnside Family Services Center,12001000400,2341,18.2,8.7,0.0,288.0
291.0,207,Alachua County Office of the State Attorney,12001000500,2796,10.7,4.8,0.0,288.0
292.0,1552,Circle K @ Newberry/Tower Road,12001002207,1455,0.4,0.7,0.0,286.0
293.0,1363,Shands Parking Garage,12001000902,164,30.5,16.9,0.0,289.5
294.0,98,SE Hawthorne Rd @ SE 18th St Eastbound,12001000700,2512,12.6,7.5,0.0,289.0
295.0,99,SE Hawthorne Rd @ SE 21st St Eastbound,12001000700,2512,12.6,7.5,0.0,291.5
296.0,563,MLK Center and Citizens Field,12001000500,2796,10.7,4.8,0.0,293.0
297.0,738,Green Oak Villa,12001000302,1363,11.6,6.7,0.0,289.0
298.0,1289,Pepboys Auto @ Newberry RD,12001002207,1455,0.4,0.7,0.0,289.5
299.0,1481,Cancer/Genetics Research Complex,12001000902,164,30.5,16.9,0.0,295.0
300.0,1351,Hailey Gardens,12001001522,4386,15.6,7.6,0.0,301.0
301.0,642,University Terrace Condominiums,12001001517,2597,11.4,6.8,0.0,292.5
302.0,1501,NE 15th St @ NE 8th Ave,12001000600,1734,20.2,11.8,0.0,305.0
303.0,733,Bel Air Apartments,12001000302,1363,11.6,6.7,0.0,297.0
304.0,1222,Hearing Aid Gainesville,12001000301,1952,14.1,7.2,0.0,300.5
305.0,741,Gainesville Public Works,12001000302,1363,11.6,6.7,0.0,299.0
306.0,932,UF Law School,12001001000,3509,6.5,4.1,0.0,296.0
307.0,624,East End Eatery,12001000500,2796,10.7,4.8,0.0,302.5
308.0,936,Westgate Plaza,12001001000,3509,6.5,4.1,0.0,298.0
309.0,532,NW 23rd Ave @ NW 43rd St,12001001702,2361,5.5,4.0,0.0,298.0
310.0,1601,Markets West (Eastbound),12001002218,1495,15.3,8.9,0.0,303.0
311.0,970,Williston Plaza,12001001517,2597,11.4,6.8,0.0,304.0
312.0,37,Brandywine Apartments,12001001515,2932,9.4,7.0,0.0,302.0
313.0,1585,NW 6th St @ NW 3rd Ave,12001000201,2308,21.1,10.6,0.0,304.0
314.0,361,Norman Hall,12001000202,1860,25.1,12.7,0.0,310.0
315.0,591,Compassionate Outreach,12001000600,1734,20.2,11.8,0.0,313.0
316.0,1494,NE 15th St @ NE 20th Pl,12001000400,2341,18.2,8.7,0.0,308.0
317.0,1600,Markets West,12001002218,1495,15.3,8.9,0.0,310.0
318.0,992,Tire Plus @ NW 39th Avenue,12001001811,3147,12.6,7.9,0.0,312.5
319.0,343,Dollar General,12001000600,1734,20.2,11.8,0.0,317.0
320.0,295,Williams Elementary School,12001000700,2512,12.6,7.5,0.0,309.5
321.0,262,Westgate Mobile Manor Park,12001000302,1363,11.6,6.7,0.0,309.5
322.0,387,Walnut Creek Neighborhood,12001001202,3217,0.6,0.9,0.0,308.0
323.0,42,Shands Hospital @ Center Drive,12001000902,164,30.5,16.9,0.0,314.0
324.0,176,Panera Bread @ Newberry Road,12001001605,4022,6.0,5.3,0.0,313.5
325.0,855,Walgreens @ NE 3rd Avenue,12001000600,1734,20.2,11.8,0.0,325.0
326.0,1407,Eastbound SW 24th AVE @ SW 76th ST,12001002221,2304,0.8,1.5,0.0,313.0
327.0,974,Dollar General,12001001517,2597,11.4,6.8,0.0,323.0
328.0,1083,Cricket Club Apartments,12001002217,2967,15.9,6.6,0.0,326.0
329.0,528,Northwest Baptist Church,12001001702,2361,5.5,4.0,0.0,321.0
330.0,1101,Tower Plaza,12001002207,1455,0.4,0.7,0.0,322.0
331.0,783,Chevron Gas Station @ Williston Road,12001000700,2512,12.6,7.5,0.0,324.0
332.0,481,University Commons,12001001515,2932,9.4,7.0,0.0,323.0
333.0,1139,Casablanca Apartments,12001001515,2932,9.4,7.0,0.0,327.0
334.0,985,Thorn Brook Shops,12001001100,2940,7.3,3.5,0.0,330.0
335.0,301,Eastbound University Avenue @ SE 15th Street,12001000600,1734,20.2,11.8,0.0,338.0
336.0,763,Publix @ N Main Street,12001000301,1952,14.1,7.2,0.0,331.0
337.0,1103,Tower Hill,12001002207,1455,0.4,0.7,0.0,330.0
338.0,236,Early Learning Coalition,12001001203,1619,5.6,3.9,0.0,333.0
339.0,1402,Westbound SW 87th Dr @ SW 91st St,12001002221,2304,0.8,1.5,0.0,332.0
340.0,140,Alachua County Office of the State Attorney,12001000500,2796,10.7,4.8,0.0,339.0
341.0,726,Bella Vista Village,12001001902,1361,16.8,9.7,0.0,345.5
342.0,662,McKnight Brain Institute,12001000902,164,30.5,16.9,0.0,340.0
343.0,1068,CVS Pharmacy @ SW 75th Street,12001002218,1495,15.3,8.9,0.0,341.5
344.0,226,Oak Gate Apartments,12001000302,1363,11.6,6.7,0.0,338.0
345.0,1066,KISS 105.3 FM Station,12001002218,1495,15.3,8.9,0.0,343.0
346.0,618,Duval Elementary School,12001000600,1734,20.2,11.8,0.0,350.0
347.0,912,Waldo Road @ NE 1st Avenue,12001000500,2796,10.7,4.8,0.0,344.5
348.0,1610,Jonesville Publix,12001002204,5356,5.5,3.9,0.0,340.0
349.0,337,Lana's Place,12001000700,2512,12.6,7.5,0.0,342.0
350.0,1235,NE Walmart Supercenter,12001000600,1734,20.2,11.8,0.0,353.0
351.0,727,Oasis Carwash,12001000302,1363,11.6,6.7,0.0,343.0
352.0,1398,Westbound SW 24th AVE @ SW 75th ST,12001002207,1455,0.4,0.7,0.0,345.0
353.0,454,Northbound SW 27th Street @ SW 35th Place,12001001516,1562,8.5,5.4,0.0,346.0
354.0,988,Monterey Apartments,12001001100,2940,7.3,3.5,0.0,348.0
355.0,386,Forest of the Unicorn Neighborhood,12001001202,3217,0.6,0.9,0.0,346.0
356.0,760,Wash King (Southbound),12001000400,2341,18.2,8.7,0.0,351.0
357.0,1117,Tower Square @ SW 75th Street,12001002221,2304,0.8,1.5,0.0,348.0
358.0,1252,Plaza Health and Rehab,12001002219,2774,16.5,9.1,0.0,352.0
359.0,341,Alachua County Sheriffs Department,12001000700,2512,12.6,7.5,0.0,350.0
360.0,877,Quick Mart @ NE 15th Street,12001000400,2341,18.2,8.7,0.0,354.0
361.0,1581,Brain Institute Northbound,12001000902,164,30.5,16.9,0.0,354.5
362.0,742,Bella Vista Village Eastbound,12001000302,1363,11.6,6.7,0.0,353.0
363.0,784,Southbound Williston Road @ SE 1st Terrace,12001000700,2512,12.6,7.5,0.0,353.0
364.0,757,Pointe 23 Apartments,12001000400,2341,18.2,8.7,0.0,357.0
365.0,1468,N Main Post Office,12001000301,1952,14.1,7.2,0.0,357.5
366.0,20,Mt Vernon Apartments,12001001514,1080,8.3,6.3,0.0,362.0
367.0,609,Mt Carmel Baptist Church,12001000600,1734,20.2,11.8,0.0,368.0
368.0,990,Magnolia Park Neighborhood,12001001811,3147,12.6,7.9,0.0,366.0
369.0,968,Hideaway Apartments,12001001517,2597,11.4,6.8,0.0,362.0
370.0,97,Veteran's Honor Center,12001000700,2512,12.6,7.5,0.0,362.0
371.0,38,University Commons,12001001515,2932,9.4,7.0,0.0,361.0
372.0,858,Lakeside Housing Complex,12001000901,237,49.8,28.7,0.0,375.0
373.0,313,Lana's Place,12001000700,2512,12.6,7.5,0.0,366.5
374.0,350,Fast Eddie's Restaurant,12001000700,2512,12.6,7.5,0.0,368.0
375.0,1015,Southbound NW 43rd Street @ NW 33rd Court,12001001701,3402,17.3,5.7,0.0,371.0
376.0,954,Enclave Apartments,12001001515,2932,9.4,7.0,0.0,368.0
377.0,216,Gainesville Police Department,12001000201,2308,21.1,10.6,0.0,370.0
378.0,972,Laurels Apartments,12001001517,2597,11.4,6.8,0.0,371.0
379.0,237,Sandy's Boutique,12001001203,1619,5.6,3.9,0.0,369.0
380.0,64,Sugarhill Neighborhood @ SE 4th Street,12001000700,2512,12.6,7.5,0.0,373.0
381.0,206,AT&T Building,12001000500,2796,10.7,4.8,0.0,375.0
382.0,953,Gainesville Place Apartments,12001001515,2932,9.4,7.0,0.0,373.0
383.0,243,Verizon Shop,12001001203,1619,5.6,3.9,0.0,373.0
384.0,1082,Sparrow Apartments,12001002217,2967,15.9,6.6,0.0,379.0
385.0,1330,Alachua County Jail (Westbound),12001001902,1361,16.8,9.7,0.0,383.5
386.0,706,Wash King,12001000400,2341,18.2,8.7,0.0,376.0
387.0,635,BLVD Gainesville,12001001519,882,12.8,5.3,0.0,377.0
388.0,179,Eastbound W Newberry Rd @ NW 53rd Terrace,12001001605,4022,6.0,5.3,0.0,379.0
389.0,152,Hillel at the University of Florida,12001001000,3509,6.5,4.1,0.0,376.0
390.0,349,Westbound E University Avenue @ NE 16th Street,12001000600,1734,20.2,11.8,0.0,390.0
391.0,245,Plaza Verde @ NW 13th St Southbound,12001001100,2940,7.3,3.5,0.0,383.0
392.0,455,Casablanca East Apartments,12001001516,1562,8.5,5.4,0.0,382.0
393.0,115,Williams Elementary School,12001000700,2512,12.6,7.5,0.0,386.0
394.0,710,Pointe 23 Apartments,12001000400,2341,18.2,8.7,0.0,388.0
395.0,1593,Social Security NB NW 13th St,12001000302,1363,11.6,6.7,0.0,386.0
396.0,998,Springhill Professional Center,12001001701,3402,17.3,5.7,0.0,392.0
397.0,1495,Passage Family Church,12001000400,2341,18.2,8.7,0.0,390.0
398.0,508,NW 23rd Ave NW 43rd St,12001001100,2940,7.3,3.5,0.0,393.0
399.0,133,Gainesville Housing Authority,12001000700,2512,12.6,7.5,0.0,393.0
400.0,1303,O2B Kids @ SW 37th BLVD,12001001519,882,12.8,5.3,0.0,394.0
401.0,1453,St. Patrick Catholic Church,12001000400,2341,18.2,8.7,0.0,397.5
402.0,578,Southbound NE 25th Street @ NE 8th Avenue,12001000600,1734,20.2,11.8,0.0,405.0
403.0,569,Duval Elementary School,12001000600,1734,20.2,11.8,0.0,407.0
404.0,338,Durelle Heights Neighborhood,12001000700,2512,12.6,7.5,0.0,401.0
405.0,949,Lexington Crossing Apartments,12001001517,2597,11.4,6.8,0.0,401.0
406.0,1057,Linton Oaks Neighborhood @ SW 61st Street,12001002217,2967,15.9,6.6,0.0,406.0
407.0,312,Durelle Heights Neighborhood,12001000700,2512,12.6,7.5,0.0,404.0
408.0,835,Kensington Apartments South,12001001522,4386,15.6,7.6,0.0,406.0
409.0,1017,Radiant Credit Union,12001001701,3402,17.3,5.7,0.0,408.0
410.0,142,Seagle Building,12001000500,2796,10.7,4.8,0.0,406.5
411.0,239,Publix @ NW 39th Avenue,12001001203,1619,5.6,3.9,0.0,403.0
412.0,703,US Post Office @ Main St,12001000301,1952,14.1,7.2,0.0,407.0
413.0,545,NW 16th Ave @ NW 17th St,12001001000,3509,6.5,4.1,0.0,402.0
414.0,1042,Publix @ Tower Square on SW 75th Street,12001002219,2774,16.5,9.1,0.0,407.5
415.0,1041,Bank of America @ Tower Square on Archer Road,12001002219,2774,16.5,9.1,0.0,410.0
416.0,384,Girls Place of Alachua County,12001001203,1619,5.6,3.9,0.0,407.0
417.0,844,Maguire Field,12001000901,237,49.8,28.7,0.0,416.0
418.0,1551,Social Security Administration,12001001203,1619,5.6,3.9,0.0,409.0
419.0,177,Durant Estate,12001001605,4022,6.0,5.3,0.0,411.0
420.0,496,Forest Ridge Neighborhood,12001001100,2940,7.3,3.5,0.0,412.0
421.0,309,Alachua County Sheriff's Office,12001000700,2512,12.6,7.5,0.0,414.0
422.0,1304,Seacoast Bank @ Archer Road,12001001519,882,12.8,5.3,0.0,414.0
423.0,260,Auto Zone @ NW 13th Street,12001000302,1363,11.6,6.7,0.0,410.0
424.0,730,Southbound NW 6th Street @ NW 32nd Place,12001000302,1363,11.6,6.7,0.0,413.0
425.0,225,Northbound NW 6th Street @ NW 26th Avenue,12001000302,1363,11.6,6.7,0.0,415.5
426.0,241,Grace Presbyterian Church,12001001203,1619,5.6,3.9,0.0,417.0
427.0,984,Millhopper Plaza,12001001702,2361,5.5,4.0,0.0,419.0
428.0,561,Eastbound NE 8th Avenue @ NE 11th Street,12001000500,2796,10.7,4.8,0.0,423.0
429.0,385,Sonic Drive In,12001001202,3217,0.6,0.9,0.0,420.5
430.0,533,NW 23rd Ave NW 43rd St,12001001702,2361,5.5,4.0,0.0,423.0
431.0,1391,Metrocorp Center,12001001100,2940,7.3,3.5,0.0,427.0
432.0,345,Harper's Pointe,12001000600,1734,20.2,11.8,0.0,436.0
433.0,728,Stephen Foster Elementary School,12001000302,1363,11.6,6.7,0.0,427.0
434.0,194,Eastbound SW 2nd Avenue @ SW 26th Street,12001000901,237,49.8,28.7,0.0,437.0
435.0,755,Highland Court Manor Neighborhood @ NE 23rd Avenue,12001000400,2341,18.2,8.7,0.0,431.0
436.0,1380,Westbound NW 39th AVE @ NW 7th ST,12001000302,1363,11.6,6.7,0.0,432.0
437.0,413,Northwood Oaks Neighborhood,12001001803,2802,5.0,4.0,0.0,428.0
438.0,619,Bartley Temple United Methodist Church,12001000600,1734,20.2,11.8,0.0,443.0
439.0,307,Southeast Gator Liquor @ Hawthorne Road,12001000700,2512,12.6,7.5,0.0,436.0
440.0,950,Lexington Crossing Apartments,12001001517,2597,11.4,6.8,0.0,436.0
441.0,785,Springhill Baptist Church,12001000700,2512,12.6,7.5,0.0,438.0
442.0,247,Gainesville High School,12001001100,2940,7.3,3.5,0.0,440.0
443.0,683,Meridian Behavioral Healthcare (Northbound),12001002101,885,0.6,0.8,0.0,435.0
